AC voltage: 100.00mV
time	bias	frequency	Z	Z'	Z''	phi	Cp	Rp	D
1.206298E+0	0.000000E+0	1.000000E+3	7.452530E+6	1.054237E+6	-7.377587E+6	-8.186765E+1	2.114107E-11	5.268286E+7	1.428972E-1
2.337849E+0	0.000000E+0	1.000000E+3	7.548480E+6	1.320765E+6	-7.432034E+6	-7.992303E+1	2.075911E-11	4.314132E+7	1.777125E-1
3.419535E+0	0.000000E+0	1.000000E+3	6.785220E+6	3.736516E+5	-6.774924E+6	-8.684321E+1	2.342053E-11	1.232143E+8	5.515214E-2
4.497399E+0	0.000000E+0	1.000000E+3	7.325070E+6	7.272512E+5	-7.288879E+6	-8.430215E+1	2.162008E-11	7.378008E+7	9.977546E-2
5.601887E+0	0.000000E+0	1.000000E+3	8.712930E+6	-7.261955E+5	-8.682614E+6	-9.478097E+1	1.820297E-11	-1.045382E+8	-8.363788E-2
6.677010E+0	0.000000E+0	1.000000E+3	8.214900E+6	-6.614344E+5	-8.188229E+6	-9.461825E+1	1.931103E-11	-1.020276E+8	-8.077869E-2
7.803742E+0	0.000000E+0	1.000000E+3	8.154680E+6	-8.091086E+5	-8.114441E+6	-9.569427E+1	1.942070E-11	-8.218774E+7	-9.971218E-2
8.923894E+0	0.000000E+0	1.000000E+3	7.548040E+6	4.490418E+5	-7.534671E+6	-8.658939E+1	2.104825E-11	1.268766E+8	5.959673E-2
1.001300E+1	0.000000E+0	1.000000E+3	7.832960E+6	-1.088798E+6	-7.756918E+6	-9.799011E+1	2.012137E-11	-5.635137E+7	-1.403648E-1
1.108423E+1	0.000000E+0	1.000000E+3	8.374580E+6	-7.923353E+5	-8.337014E+6	-9.542899E+1	1.891928E-11	-8.851503E+7	-9.503827E-2
1.220073E+1	0.000000E+0	1.000000E+3	7.734930E+6	6.339879E+5	-7.708904E+6	-8.529852E+1	2.050690E-11	9.436953E+7	8.224099E-2
1.332914E+1	0.000000E+0	1.000000E+3	7.572150E+6	6.484887E+5	-7.544330E+6	-8.508710E+1	2.094124E-11	8.841705E+7	8.595709E-2
1.445149E+1	0.000000E+0	1.000000E+3	8.223040E+6	6.989882E+5	-8.193278E+6	-8.512377E+1	1.928471E-11	9.673752E+7	8.531240E-2
1.554554E+1	0.000000E+0	1.000000E+3	8.227650E+6	-9.142868E+5	-8.176693E+6	-9.638010E+1	1.922411E-11	-7.404047E+7	-1.118162E-1
1.661795E+1	0.000000E+0	1.000000E+3	7.914140E+6	-7.164636E+5	-7.881643E+6	-9.519407E+1	2.002762E-11	-8.742051E+7	-9.090283E-2
1.775131E+1	0.000000E+0	1.000000E+3	8.525680E+6	-5.733765E+5	-8.506378E+6	-9.385622E+1	1.862545E-11	-1.267705E+8	-6.740548E-2
1.883099E+1	0.000000E+0	1.000000E+3	7.987710E+6	-8.103440E+5	-7.946499E+6	-9.582261E+1	1.982218E-11	-7.873633E+7	-1.019750E-1
1.996215E+1	0.000000E+0	1.000000E+3	7.780570E+6	-7.265297E+5	-7.746575E+6	-9.535794E+1	2.036606E-11	-8.332387E+7	-9.378722E-2
2.108257E+1	0.000000E+0	1.000000E+3	7.333520E+6	8.842919E+5	-7.280010E+6	-8.307430E+1	2.154404E-11	6.081761E+7	1.214685E-1
2.222096E+1	0.000000E+0	1.000000E+3	7.867910E+6	-6.640763E+5	-7.839835E+6	-9.484170E+1	2.015618E-11	-9.321822E+7	-8.470539E-2
2.333678E+1	0.000000E+0	1.000000E+3	8.032620E+6	9.654809E+5	-7.974386E+6	-8.309664E+1	1.966994E-11	6.682989E+7	1.210728E-1
2.447815E+1	0.000000E+0	1.000000E+3	8.166380E+6	-4.673814E+5	-8.152994E+6	-9.328097E+1	1.945710E-11	-1.426881E+8	-5.732635E-2
2.555440E+1	0.000000E+0	1.000000E+3	8.538830E+6	-6.717693E+5	-8.512364E+6	-9.451225E+1	1.858119E-11	-1.085367E+8	-7.891689E-2
2.663028E+1	0.000000E+0	1.000000E+3	8.190310E+6	-1.023755E+6	-8.126076E+6	-9.718052E+1	1.927970E-11	-6.552464E+7	-1.259839E-1
2.776151E+1	0.000000E+0	1.000000E+3	8.265900E+6	-5.902914E+5	-8.244796E+6	-9.409514E+1	1.920524E-11	-1.157481E+8	-7.159563E-2
2.884087E+1	0.000000E+0	1.000000E+3	8.176310E+6	-5.710072E+5	-8.156347E+6	-9.400461E+1	1.941785E-11	-1.170774E+8	-7.000771E-2
2.991867E+1	0.000000E+0	1.000000E+3	8.229260E+6	-9.107854E+5	-8.178703E+6	-9.635431E+1	1.922131E-11	-7.435420E+7	-1.113606E-1
3.098836E+1	0.000000E+0	1.000000E+3	7.912780E+6	-1.128957E+6	-7.831829E+6	-9.820267E+1	1.990789E-11	-5.546012E+7	-1.441498E-1
3.206472E+1	0.000000E+0	1.000000E+3	8.199100E+6	-7.891180E+5	-8.161038E+6	-9.552295E+1	1.932116E-11	-8.519035E+7	-9.669334E-2
3.314191E+1	0.000000E+0	1.000000E+3	7.927610E+6	-8.398076E+5	-7.883002E+6	-9.608101E+1	1.996307E-11	-7.483499E+7	-1.065340E-1
3.421997E+1	0.000000E+0	1.000000E+3	7.939990E+6	-9.436842E+5	-7.883711E+6	-9.682586E+1	1.990265E-11	-6.680565E+7	-1.197005E-1
3.535263E+1	0.000000E+0	1.000000E+3	8.319390E+6	-8.909063E+5	-8.271550E+6	-9.614747E+1	1.902059E-11	-7.768747E+7	-1.077073E-1
3.647571E+1	0.000000E+0	1.000000E+3	8.115670E+6	-6.086201E+5	-8.092817E+6	-9.430083E+1	1.955560E-11	-1.082187E+8	-7.520498E-2
3.760594E+1	0.000000E+0	1.000000E+3	8.012820E+6	-7.474986E+5	-7.977878E+6	-9.535278E+1	1.977592E-11	-8.589352E+7	-9.369643E-2
3.867793E+1	0.000000E+0	1.000000E+3	7.988690E+6	-9.133717E+5	-7.936304E+6	-9.656516E+1	1.979189E-11	-6.987207E+7	-1.150878E-1
3.975393E+1	0.000000E+0	1.000000E+3	8.321040E+6	-8.873599E+5	-8.273590E+6	-9.612169E+1	1.901774E-11	-7.802888E+7	-1.072521E-1
4.086942E+1	0.000000E+0	1.000000E+3	7.615300E+6	7.023217E+5	-7.582845E+6	-8.470837E+1	2.081030E-11	8.257298E+7	9.261982E-2
4.199609E+1	0.000000E+0	1.000000E+3	7.371770E+6	6.177392E+5	-7.345842E+6	-8.519309E+1	2.151385E-11	8.797078E+7	8.409372E-2
4.314565E+1	0.000000E+0	1.000000E+3	8.421980E+6	-8.890798E+5	-8.374920E+6	-9.605981E+1	1.879197E-11	-7.977883E+7	-1.061598E-1
4.426115E+1	0.000000E+0	1.000000E+3	7.625770E+6	4.050148E+5	-7.615007E+6	-8.695551E+1	2.084121E-11	1.435809E+8	5.318639E-2
4.533227E+1	0.000000E+0	1.000000E+3	7.204900E+6	6.649747E+5	-7.174148E+6	-8.470436E+1	2.199553E-11	7.806400E+7	9.269042E-2
4.641064E+1	0.000000E+0	1.000000E+3	7.234320E+6	3.900757E+5	-7.223796E+6	-8.690910E+1	2.196798E-11	1.341672E+8	5.399872E-2
4.748723E+1	0.000000E+0	1.000000E+3	7.805000E+6	5.026555E+5	-7.788797E+6	-8.630750E+1	2.034908E-11	1.211924E+8	6.453570E-2
4.856749E+1	0.000000E+0	1.000000E+3	7.227500E+6	1.138173E+6	-7.137319E+6	-8.093946E+1	2.174598E-11	4.589528E+7	1.594678E-1
4.966250E+1	0.000000E+0	1.000000E+3	8.324690E+6	-1.007423E+6	-8.263508E+6	-9.695076E+1	1.897791E-11	-6.878981E+7	-1.219123E-1
