AC voltage: 100.00mV
time	bias	frequency	Z	Z'	Z''	phi	Cp	Rp	D
1.171887E+0	0.000000E+0	1.000000E+3	8.187030E+6	-4.287524E+5	-8.175795E+6	-9.300194E+1	1.941321E-11	-1.563314E+8	-5.244167E-2
2.244545E+0	0.000000E+0	1.000000E+3	7.854820E+6	-3.659310E+5	-7.846292E+6	-9.267019E+1	2.024007E-11	-1.686061E+8	-4.663744E-2
3.324999E+0	0.000000E+0	1.000000E+3	8.148670E+6	1.052480E+5	-8.147990E+6	-8.925995E+1	1.952977E-11	6.308989E+8	1.291705E-2
4.401745E+0	0.000000E+0	1.000000E+3	7.519820E+6	-4.910981E+5	-7.503767E+6	-9.374449E+1	2.111955E-11	-1.151454E+8	-6.544688E-2
5.487246E+0	0.000000E+0	1.000000E+3	8.271950E+6	-3.353169E+4	-8.271882E+6	-9.023226E+1	1.924016E-11	-2.040612E+9	-4.053695E-3
6.570478E+0	0.000000E+0	1.000000E+3	8.226280E+6	-1.372382E+5	-8.225135E+6	-9.095590E+1	1.934444E-11	-4.930965E+8	-1.668522E-2
7.646723E+0	0.000000E+0	1.000000E+3	7.900970E+6	-7.949414E+5	-7.860877E+6	-9.577448E+1	2.004151E-11	-7.852821E+7	-1.011263E-1
8.725343E+0	0.000000E+0	1.000000E+3	7.971900E+6	-3.356268E+5	-7.964832E+6	-9.241294E+1	1.994679E-11	-1.893508E+8	-4.213859E-2
9.812961E+0	0.000000E+0	1.000000E+3	8.535190E+6	-5.408521E+3	-8.535188E+6	-9.003631E+1	1.864691E-11	-1.346939E+10	-6.336733E-4
1.089083E+1	0.000000E+0	1.000000E+3	8.301880E+6	-5.839173E+5	-8.281319E+6	-9.403326E+1	1.912347E-11	-1.180325E+8	-7.051018E-2
1.196784E+1	0.000000E+0	1.000000E+3	7.640500E+6	-8.264851E+5	-7.595667E+6	-9.620993E+1	2.070821E-11	-7.063314E+7	-1.088101E-1
1.304583E+1	0.000000E+0	1.000000E+3	8.244750E+6	-3.415125E+5	-8.237674E+6	-9.237397E+1	1.928722E-11	-1.990436E+8	-4.145740E-2
1.412430E+1	0.000000E+0	1.000000E+3	8.211050E+6	-4.749384E+5	-8.197303E+6	-9.331592E+1	1.935057E-11	-1.419581E+8	-5.793837E-2
1.520231E+1	0.000000E+0	1.000000E+3	8.119890E+6	-2.602277E+5	-8.115719E+6	-9.183654E+1	1.959056E-11	-2.533651E+8	-3.206466E-2
1.628393E+1	0.000000E+0	1.000000E+3	8.468630E+6	-2.399153E+5	-8.465231E+6	-9.162340E+1	1.878593E-11	-2.989292E+8	-2.834126E-2
1.738687E+1	0.000000E+0	1.000000E+3	1.378360E+7	-8.168615E+6	-1.110231E+7	-1.263441E+2	9.300543E-12	-2.325824E+7	-7.357579E-1
1.852478E+1	0.000000E+0	1.000000E+3	1.290790E+7	-8.987717E+6	-9.264709E+6	-1.341306E+2	8.849948E-12	-1.853795E+7	-9.701024E-1
1.964102E+1	0.000000E+0	1.000000E+3	8.149740E+6	-1.653768E+5	-8.148062E+6	-9.116274E+1	1.952482E-11	-4.016178E+8	-2.029646E-2
2.072564E+1	0.000000E+0	1.000000E+3	8.251260E+6	-6.151680E+5	-8.228296E+6	-9.427562E+1	1.923488E-11	-1.106743E+8	-7.476250E-2
2.180326E+1	0.000000E+0	1.000000E+3	8.091040E+6	-3.910929E+4	-8.090945E+6	-9.027695E+1	1.967029E-11	-1.673897E+9	-4.833711E-3
2.288106E+1	0.000000E+0	1.000000E+3	7.846380E+6	-8.680801E+4	-7.845900E+6	-9.063390E+1	2.028263E-11	-7.092165E+8	-1.106412E-2
2.397067E+1	0.000000E+0	1.000000E+3	8.370240E+6	3.935602E+5	-8.360982E+6	-8.730502E+1	1.899335E-11	1.780183E+8	4.707105E-2
2.507611E+1	0.000000E+0	1.000000E+3	1.540180E+7	-1.037414E+7	-1.138388E+7	-1.323429E+2	7.637785E-12	-2.286604E+7	-9.113008E-1
2.619586E+1	0.000000E+0	1.000000E+3	7.736600E+6	-1.558330E+5	-7.735030E+6	-9.115415E+1	2.056752E-11	-3.840969E+8	-2.014640E-2
2.728229E+1	0.000000E+0	1.000000E+3	7.972800E+6	-3.559762E+5	-7.964849E+6	-9.255904E+1	1.994233E-11	-1.785668E+8	-4.469340E-2
2.836977E+1	0.000000E+0	1.000000E+3	8.097180E+6	-3.282323E+4	-8.097113E+6	-9.023226E+1	1.965544E-11	-1.997498E+9	-4.053695E-3
2.944763E+1	0.000000E+0	1.000000E+3	8.210100E+6	-7.894412E+5	-8.172058E+6	-9.551779E+1	1.929544E-11	-8.538412E+7	-9.660250E-2
3.052858E+1	0.000000E+0	1.000000E+3	8.424350E+6	-4.356282E+5	-8.413079E+6	-9.296412E+1	1.886698E-11	-1.629134E+8	-5.177988E-2
3.161232E+1	0.000000E+0	1.000000E+3	8.070340E+6	-6.613778E+5	-8.043194E+6	-9.470076E+1	1.965464E-11	-9.847683E+7	-8.222825E-2
3.269469E+1	0.000000E+0	1.000000E+3	8.094850E+6	-3.784878E+5	-8.085997E+6	-9.267993E+1	1.963976E-11	-1.731274E+8	-4.680781E-2
3.378157E+1	0.000000E+0	1.000000E+3	8.372890E+6	-5.118810E+5	-8.357228E+6	-9.350499E+1	1.897281E-11	-1.369562E+8	-6.125010E-2
