AC voltage: 100.00mV
time	bias	frequency	Z	Z'	Z''	phi	Cp	Rp	D
1.168555E+0	0.000000E+0	1.000000E+3	8.688100E+6	-8.040926E+5	-8.650810E+6	-9.531038E+1	1.824010E-11	-9.387361E+7	-9.294998E-2
2.278890E+0	0.000000E+0	1.000000E+3	8.195270E+6	1.278596E+6	-8.094915E+6	-8.102425E+1	1.918253E-11	5.252827E+7	1.579505E-1
3.422671E+0	0.000000E+0	1.000000E+3	8.826780E+6	-4.758299E+5	-8.813945E+6	-9.309017E+1	1.800470E-11	-1.637393E+8	-5.398603E-2
4.498728E+0	0.000000E+0	1.000000E+3	8.312200E+6	-6.780505E+5	-8.284499E+6	-9.467898E+1	1.908334E-11	-1.018990E+8	-8.184570E-2
5.586655E+0	0.000000E+0	1.000000E+3	8.959510E+6	-8.870025E+5	-8.915495E+6	-9.568166E+1	1.767653E-11	-9.049897E+7	-9.949000E-2
6.718890E+0	0.000000E+0	1.000000E+3	8.748570E+6	-9.399106E+5	-8.697933E+6	-9.616753E+1	1.808681E-11	-8.143059E+7	-1.080614E-1
7.797378E+0	0.000000E+0	1.000000E+3	8.374050E+6	-1.035920E+6	-8.309728E+6	-9.710603E+1	1.885975E-11	-6.769318E+7	-1.246635E-1
8.876122E+0	0.000000E+0	1.000000E+3	8.362670E+6	-6.665803E+5	-8.336061E+6	-9.457184E+1	1.897104E-11	-1.049150E+8	-7.996346E-2
9.991249E+0	0.000000E+0	1.000000E+3	7.792180E+6	1.061771E+6	-7.719502E+6	-8.216845E+1	2.023445E-11	5.718565E+7	1.375440E-1
1.108978E+1	0.000000E+0	1.000000E+3	8.715540E+6	-1.017598E+6	-8.655930E+6	-9.670496E+1	1.813616E-11	-7.464699E+7	-1.175608E-1
1.216636E+1	0.000000E+0	1.000000E+3	8.401120E+6	-7.141034E+5	-8.370715E+6	-9.487608E+1	1.887593E-11	-9.883556E+7	-8.530973E-2
1.324185E+1	0.000000E+0	1.000000E+3	8.763170E+6	-1.192841E+6	-8.681606E+6	-9.782338E+1	1.799276E-11	-6.437837E+7	-1.373986E-1
1.437109E+1	0.000000E+0	1.000000E+3	9.236650E+6	-9.592821E+5	-9.186701E+6	-9.596126E+1	1.713763E-11	-8.893703E+7	-1.044207E-1
1.550772E+1	0.000000E+0	1.000000E+3	8.287840E+6	-1.036192E+6	-8.222810E+6	-9.718224E+1	1.905275E-11	-6.628912E+7	-1.260144E-1
1.664295E+1	0.000000E+0	1.000000E+3	8.137230E+6	-9.965297E+5	-8.075979E+6	-9.703441E+1	1.941164E-11	-6.644510E+7	-1.233943E-1
1.772170E+1	0.000000E+0	1.000000E+3	8.312430E+6	-9.589736E+5	-8.256928E+6	-9.662475E+1	1.901878E-11	-7.205255E+7	-1.161417E-1
1.879969E+1	0.000000E+0	1.000000E+3	8.159680E+6	-1.050035E+6	-8.091836E+6	-9.739366E+1	1.934287E-11	-6.340776E+7	-1.297648E-1
1.986569E+1	0.000000E+0	1.000000E+3	8.555200E+6	-1.112046E+6	-8.482618E+6	-9.746872E+1	1.844547E-11	-6.581691E+7	-1.310971E-1
2.094492E+1	0.000000E+0	1.000000E+3	8.809570E+6	-1.175239E+6	-8.730827E+6	-9.766639E+1	1.790466E-11	-6.603639E+7	-1.346079E-1
2.202310E+1	0.000000E+0	1.000000E+3	8.883940E+6	-6.122722E+5	-8.862816E+6	-9.395190E+1	1.787231E-11	-1.289041E+8	-6.908326E-2
2.309904E+1	0.000000E+0	1.000000E+3	8.685480E+6	-1.156877E+6	-8.608089E+6	-9.765435E+1	1.816098E-11	-6.520795E+7	-1.343941E-1
2.416640E+1	0.000000E+0	1.000000E+3	8.426660E+6	-9.492134E+5	-8.373028E+6	-9.646776E+1	1.876686E-11	-7.480783E+7	-1.133656E-1
2.529840E+1	0.000000E+0	1.000000E+3	8.677140E+6	-1.028022E+6	-8.616027E+6	-9.680408E+1	1.821269E-11	-7.324042E+7	-1.193151E-1
